id	emotion
34170_0002_A_12	0.09032516926527023,0.18448658287525177,0.04536662995815277,0.011637984775006771,0.14726927876472473,0.5545176267623901
34170_0002_A_14	0.006763803772628307,0.007483224850147963,0.0561697855591774,0.21282519400119781,0.12997764348983765,0.23715737462043762
34170_0003_A_16	0.027811763808131218,0.042912133038043976,0.016102774068713188,0.049924302846193314,0.24384677410125732,0.10823775082826614
34170_0003_A_17	0.042934078723192215,0.023521773517131805,0.08237428963184357,0.06611964106559753,0.29871466755867004,0.5266243815422058
34170_0003_A_18	0.017642412334680557,0.018408359959721565,0.0728064477443695,0.17427819967269897,0.3127165734767914,1.2262251377105713
34170_0003_A_20	0.028434474021196365,0.03506922721862793,0.1558510661125183,0.21777087450027466,0.3988093435764313,0.6542451977729797
34170_0003_A_21	0.014422967098653316,0.01886623725295067,0.08944590389728546,0.015660695731639862,0.41021785140037537,0.15818922221660614
34170_0004_A_24	0.01647910475730896,0.016080405563116074,0.04093562439084053,0.07714472711086273,0.10817117989063263,0.22678866982460022
34170_0004_A_25	0.07727519422769547,0.039871007204055786,0.039255764335393906,0.07355570048093796,0.2032199501991272,0.4247438311576843
34170_0004_A_26	0.07361257076263428,0.04187113046646118,0.03824784234166145,0.06513792276382446,0.188638836145401,0.3546254634857178
34170_0004_A_27	0.024420365691184998,0.020545270293951035,0.0122592244297266,0.1016918197274208,0.04133367910981178,0.16849103569984436
34170_0004_A_28	0.013253329321742058,0.00609397329390049,0.04587621986865997,0.2129594087600708,0.5203308463096619,0.319491982460022
34170_0005_A_31	0.04828775301575661,0.04900389909744263,0.09134077280759811,0.07681885361671448,0.1392984837293625,0.6174032688140869
34170_0005_A_33	0.020709583535790443,0.031970877200365067,0.07625475525856018,0.09491508454084396,0.21360571682453156,0.14494892954826355
34170_0005_A_35	0.022446895018219948,0.022778768092393875,0.0879506766796112,0.11280693113803864,0.1353853940963745,0.49362581968307495
34170_0004_A_29	0.0119350366294384,0.006347400136291981,0.04156292602419853,0.16948965191841125,0.4567989110946655,0.21368993818759918
34170_0005_A_34	0.2586140036582947,0.210830420255661,0.02284144051373005,0.08780808001756668,0.11656757444143295,0.661347508430481
34170_0005_A_36	0.047911636531353,0.033161796629428864,0.02230190485715866,0.21576157212257385,0.08480730652809143,0.6004122495651245
34170_0005_A_32	0.018409522250294685,0.015318925492465496,0.012483909726142883,0.01895846612751484,0.10468874126672745,0.07217483222484589
34170_0007_A_42	0.02650170400738716,0.02202673815190792,0.022421730682253838,0.051455799490213394,0.12064188718795776,0.2972058653831482
34170_0007_A_43	0.008929438889026642,0.04427563399076462,0.019753478467464447,0.04902082309126854,0.23972803354263306,0.03141321614384651
34170_0007_A_44	0.019903123378753662,0.1529342532157898,0.05095753073692322,0.19510015845298767,0.11668357253074646,0.24503503739833832
34170_0007_A_45	0.013181671500205994,0.06555984169244766,0.03143664449453354,0.04047340527176857,0.0741136223077774,0.042857103049755096
34170_0007_A_46	0.16178297996520996,1.5581271648406982,0.042020756751298904,0.07589796185493469,0.03769450634717941,0.16530178487300873
34170_0007_A_47	0.007381148636341095,0.0282862801104784,0.015348488464951515,0.032898321747779846,0.18660175800323486,0.028900112956762314
34170_0008_A_49	0.01302448008209467,0.02698495052754879,0.06369778513908386,0.03796979412436485,0.18169379234313965,0.17551788687705994
34170_0008_A_50	0.01701405644416809,0.010499569587409496,0.015676036477088928,0.12009049952030182,0.0433635413646698,0.059701696038246155
34170_0008_A_51	0.16894635558128357,0.34152165055274963,0.0077947163954377174,0.009634160436689854,0.05737626552581787,0.18637624382972717
34170_0009_A_54	0.016771389171481133,0.019366782158613205,0.016642890870571136,0.012603966519236565,0.057398051023483276,0.03343049809336662
34170_0009_A_56	0.051044952124357224,0.03089619241654873,0.01278216764330864,0.391757607460022,0.12422306835651398,0.37152737379074097
34170_0009_A_58	0.027237486094236374,0.02113780379295349,0.0251273475587368,0.0476265549659729,0.18058371543884277,0.15236997604370117
34170_0009_A_59	0.028475679457187653,0.04103867709636688,0.01693224348127842,0.03259889781475067,0.052409056574106216,0.13523165881633759
34170_0009_A_60	0.01285458542406559,0.021153884008526802,0.03154979646205902,0.121772401034832,0.09169325977563858,0.14196667075157166
