id	emotion
34170_0002_A_12	0.00958287250250578,0.008848625235259533,0.017428942024707794,0.006886334158480167,0.03827204927802086,0.110015869140625
34170_0002_A_14	0.00618342962116003,0.004309156443923712,0.01686134934425354,0.1339137852191925,0.13922277092933655,0.2536151707172394
34170_0003_A_16	0.0014492514310404658,0.015375016257166862,0.009314721450209618,0.036558352410793304,0.08101580291986465,0.045217204838991165
34170_0003_A_17	0.07237666100263596,0.03692278638482094,0.01459119189530611,0.04153409227728844,0.09633611142635345,0.9268825054168701
34170_0003_A_18	0.013759421184659004,0.010744817554950714,0.019853606820106506,0.023130184039473534,0.33783748745918274,1.4377782344818115
34170_0003_A_20	0.016494372859597206,0.024695303291082382,0.050504423677921295,0.034723661839962006,0.23853325843811035,1.9062297344207764
34170_0003_A_21	0.004212869796901941,0.009548993781208992,0.057199083268642426,0.039560332894325256,0.13736775517463684,0.27433305978775024
34170_0004_A_24	0.10399950295686722,0.03739393875002861,0.005964446347206831,0.0024229981936514378,0.027321528643369675,0.07840043306350708
34170_0004_A_25	1.763399362564087,0.3118772804737091,0.018377181142568588,0.0028574953321367502,0.012511475011706352,0.8552418947219849
34170_0004_A_26	1.4454771280288696,0.24274924397468567,0.01825050637125969,0.0017455643974244595,0.0063178641721606255,0.338433176279068
34170_0004_A_27	0.01614677906036377,0.013036957941949368,0.005445839837193489,0.0025723965372890234,0.03688704967498779,0.017224907875061035
34170_0004_A_28	0.040849991142749786,0.00709901750087738,0.007385563105344772,0.16163939237594604,0.22918273508548737,0.4243807792663574
34170_0005_A_31	0.24872654676437378,0.4619201123714447,0.04966616630554199,0.002949118847027421,0.0031283756252378225,0.14511775970458984
34170_0005_A_33	0.006605261936783791,0.041198160499334335,0.0352887362241745,0.04697518050670624,0.034976400434970856,0.2763516306877136
34170_0005_A_35	0.0010842593619599938,0.01395035907626152,0.032594870775938034,0.2913440465927124,0.0506221204996109,0.1371738165616989
34170_0004_A_29	0.036214664578437805,0.003958248067647219,0.013338628225028515,0.05471473187208176,0.23844386637210846,0.36148202419281006
34170_0005_A_34	0.502824604511261,0.2630941867828369,0.016277864575386047,0.036380864679813385,0.021220523864030838,0.24448317289352417
34170_0005_A_36	0.005779477767646313,0.028025949373841286,0.004195225425064564,0.01132671907544136,0.02135201171040535,0.05360914394259453
34170_0005_A_32	0.009817052632570267,0.07725297659635544,0.011194922029972076,0.008194275200366974,0.02008744515478611,0.017935412004590034
34170_0007_A_42	0.0033884206786751747,0.018813567236065865,0.00806259922683239,0.012316247448325157,0.04687485471367836,0.07202399522066116
34170_0007_A_43	0.0005340322386473417,0.017151445150375366,0.00607488676905632,0.014380613341927528,0.015939533710479736,0.0025927191600203514
34170_0007_A_44	0.0013110518921166658,0.007070864550769329,0.014615125022828579,0.02016829140484333,0.12017688900232315,0.47648584842681885
34170_0007_A_45	0.0015433399239555001,0.07829800248146057,0.07652607560157776,0.01972583495080471,0.035367995500564575,0.010225310921669006
34170_0007_A_46	0.027174394577741623,1.4497116804122925,0.025055011734366417,0.011826936155557632,0.015397608280181885,0.07132906466722488
34170_0007_A_47	0.00027493253583088517,0.025468945503234863,0.009453751146793365,0.041671834886074066,0.019889459013938904,0.012009414844214916
34170_0008_A_49	0.003735168371349573,0.037471480667591095,0.0072913579642772675,0.004713841713964939,0.017373843118548393,0.09171302616596222
34170_0008_A_50	0.00043543000356294215,0.008398043923079967,0.005631734617054462,0.009434187784790993,0.011817727237939835,0.013605210930109024
34170_0008_A_51	0.05579690635204315,0.09908990561962128,0.021124769002199173,0.007333065383136272,0.08217187225818634,0.08213809132575989
34170_0009_A_54	0.003039389383047819,0.005600058473646641,0.0017473589396104217,0.00476214662194252,0.08151859045028687,0.007078079506754875
34170_0009_A_56	0.006738464348018169,0.05250006169080734,0.003645644523203373,0.26662561297416687,0.1783289611339569,0.09647979587316513
34170_0009_A_58	0.005226783454418182,0.03050350397825241,0.003848153166472912,0.01034414954483509,0.047629982233047485,0.017702216282486916
34170_0009_A_59	0.0011994639644399285,0.0138663649559021,0.039701513946056366,0.02601316198706627,0.010374211706221104,0.011088764294981956
34170_0009_A_60	0.013270730152726173,0.08974143117666245,0.01768665760755539,0.004877343308180571,0.07624827325344086,0.0278945155441761
34170_0009_A_61	0.03210289403796196,0.06312398612499237,0.02862614020705223,0.045602377504110336,0.12354234606027603,0.13221921026706696
34170_0009_A_62	0.004312960430979729,0.04248908534646034,0.020631615072488785,0.0025557205080986023,0.09858211129903793,0.027507321909070015
34170_0009_A_63	0.016503339633345604,0.09030871838331223,0.015116831287741661,0.0024380648974329233,0.11393135786056519,0.02654850110411644
34170_0009_A_64	0.007250928785651922,0.019740980118513107,0.020562810823321342,0.007916527800261974,0.04992977902293205,0.33193618059158325
34170_0010_A_66	0.0010090882424265146,0.018287919461727142,0.002710239728912711,0.006196572445333004,0.004881638567894697,0.004639989696443081
34170_0010_A_67	0.0017787860706448555,0.005925755016505718,0.006654581055045128,0.0061236536130309105,0.022544361650943756,0.021716570481657982
34170_0011_A_71	0.005876703187823296,0.010638564825057983,0.011605752632021904,0.006453605834394693,0.09358537942171097,0.01230800710618496
34170_0011_A_74	0.0038262754678726196,0.012944874353706837,0.01584419049322605,0.005114435218274593,0.04292134940624237,0.043211378157138824
34170_0011_A_76	0.004844690673053265,0.025938384234905243,0.02651033364236355,0.11978545784950256,0.08137106895446777,0.033003974705934525
34170_0011_A_78	0.03710281848907471,0.06836509704589844,0.009018857963383198,0.016582146286964417,0.016057822853326797,0.06475324928760529
34170_0011_A_80	0.018660783767700195,0.030930884182453156,0.0061608562245965,0.013311011716723442,0.018572650849819183,0.060786135494709015
