id	emotion
34170_0002_A_12	0.013211955316364765,0.00842529721558094,0.08866383880376816,0.014757109805941582,0.06698628515005112,0.14334557950496674
34170_0002_A_14	0.006829843856394291,0.0038045383989810944,0.012751827947795391,0.07755894213914871,0.18207645416259766,0.7846260070800781
34170_0003_A_16	0.009463310241699219,0.00860622152686119,0.012626416981220245,0.0652380958199501,0.11945845186710358,0.07336314022541046
34170_0003_A_17	0.058244917541742325,0.010112511925399303,0.00795596931129694,0.036444634199142456,0.06489820778369904,0.7982081174850464
34170_0003_A_18	0.12432588636875153,0.015481175854802132,0.03125057369470596,0.06863796710968018,0.6860977411270142,1.7097949981689453
34170_0003_A_20	0.022262074053287506,0.02609517052769661,0.11524216830730438,0.021739613264799118,0.09604157507419586,1.3450822830200195
34170_0003_A_21	0.0076531413942575455,0.008561033755540848,0.030521951615810394,0.03087964653968811,0.12388526648283005,0.1699298620223999
34170_0004_A_24	0.059721916913986206,0.020243287086486816,0.007305078208446503,0.006818302441388369,0.04551921784877777,0.05133563280105591
34170_0004_A_25	1.9064488410949707,0.3210395574569702,0.014371834695339203,0.008502333424985409,0.023676009848713875,0.6773483753204346
34170_0004_A_26	0.8917331099510193,0.1192975789308548,0.019941002130508423,0.0040121302008628845,0.034698233008384705,0.2556339502334595
34170_0004_A_27	0.016670338809490204,0.01621222496032715,0.015356617048382759,0.006612387485802174,0.06711840629577637,0.044697750359773636
34170_0004_A_28	0.1107349842786789,0.006342911161482334,0.01590109057724476,0.22567708790302277,0.5326347351074219,0.33891934156417847
34170_0005_A_31	0.10085715353488922,0.36622875928878784,0.02518634870648384,0.0071235597133636475,0.013949107378721237,0.06359831988811493
34170_0005_A_33	0.03675135597586632,0.10269621014595032,0.012158752419054508,0.058174073696136475,0.018454620614647865,0.20331549644470215
34170_0005_A_35	0.004669712856411934,0.02509157732129097,0.05628271400928497,0.36176711320877075,0.0954631045460701,0.30948060750961304
34170_0004_A_29	0.060165852308273315,0.00464654853567481,0.030026845633983612,0.08217328786849976,1.2061823606491089,0.6989880800247192
34170_0005_A_34	0.37453585863113403,0.19204211235046387,0.0051275696605443954,0.05292312428355217,0.015019789338111877,0.3969012498855591
34170_0005_A_36	0.0388740710914135,0.016896147280931473,0.003742009401321411,0.06245468929409981,0.027021687477827072,0.1013433039188385
34170_0005_A_32	0.011106172576546669,0.01248721219599247,0.0053014676086604595,0.019561871886253357,0.047467246651649475,0.04906857758760452
34170_0007_A_42	0.013289695605635643,0.008351948112249374,0.00931662879884243,0.00465632788836956,0.055486179888248444,0.07702027261257172
34170_0007_A_43	0.0010435763979330659,0.013798294588923454,0.0035806226078420877,0.014995977282524109,0.03701701760292053,0.006298626773059368
34170_0007_A_44	0.004161971155554056,0.011791342869400978,0.02708636038005352,0.028913311660289764,0.07481696456670761,1.6391018629074097
34170_0007_A_45	0.0076904697343707085,0.05242539197206497,0.14960238337516785,0.017925824970006943,0.044503889977931976,0.04434097185730934
34170_0007_A_46	0.07684585452079773,1.6616055965423584,0.015424063429236412,0.012794159352779388,0.012589520774781704,0.08413184434175491
34170_0007_A_47	0.003957249224185944,0.019534572958946228,0.009595748968422413,0.03613288328051567,0.012703409418463707,0.02395157516002655
34170_0008_A_49	0.014896614477038383,0.01638581044971943,0.0018229337874799967,0.016447460278868675,0.05680432543158531,0.04624778777360916
34170_0008_A_50	0.004909180570393801,0.011032684706151485,0.00611113291233778,0.005796165205538273,0.03562503680586815,0.02208598516881466
34170_0008_A_51	0.2925037145614624,0.12857921421527863,0.01687873899936676,0.020706256851553917,0.03270775452256203,0.09199545532464981
34170_0009_A_54	0.0026376950554549694,0.007282317616045475,0.0028105361852794886,0.01413095835596323,0.03854295238852501,0.018120449036359787
34170_0009_A_56	0.009353549219667912,0.011870501562952995,0.0022977120243012905,0.06900480389595032,0.07036072015762329,0.06404690444469452
34170_0009_A_58	0.011404486373066902,0.02622067928314209,0.004595890641212463,0.010384875349700451,0.036479365080595016,0.01773144118487835
34170_0009_A_59	0.0057996101677417755,0.018194343894720078,0.029492367058992386,0.01804976537823677,0.0115973437204957,0.030293058604002
34170_0009_A_60	0.011671138927340508,0.03483423963189125,0.007860762998461723,0.011500717140734196,0.043523188680410385,0.019812487065792084
