id	emotion
34170_0002_A_12	0.008587123826146126,0.016361482441425323,0.07705261558294296,0.007846415974199772,0.04794451594352722,0.11287659406661987
34170_0002_A_14	0.0035421971697360277,0.004556537140160799,0.015175717882812023,0.07580921053886414,0.11176265776157379,0.39208701252937317
34170_0003_A_16	0.008096382953226566,0.013400910422205925,0.017474129796028137,0.060192495584487915,0.14580373466014862,0.06583063304424286
34170_0003_A_17	0.0722394809126854,0.007221473380923271,0.043637216091156006,0.0601857453584671,0.14821290969848633,1.6002204418182373
34170_0003_A_18	0.05170193687081337,0.027611002326011658,0.025379635393619537,0.02109312266111374,0.2625235617160797,1.0581870079040527
34170_0003_A_20	0.017729442566633224,0.059452515095472336,0.04191717877984047,0.019198935478925705,0.12614300847053528,1.5032877922058105
34170_0003_A_21	0.008456237614154816,0.010811815038323402,0.02234495058655739,0.022460222244262695,0.2835761308670044,0.1821885108947754
34170_0004_A_24	0.046062491834163666,0.0885065570473671,0.015011660754680634,0.010649974457919598,0.028438154608011246,0.07815276086330414
34170_0004_A_25	2.060901641845703,0.28570783138275146,0.012111281976103783,0.009734267368912697,0.04041314870119095,0.7968740463256836
34170_0004_A_26	1.056989073753357,0.19822251796722412,0.010544050484895706,0.005061806179583073,0.02741246670484543,0.3200981020927429
34170_0004_A_27	0.007212932221591473,0.07872925698757172,0.0389462448656559,0.011070292443037033,0.06335000693798065,0.11357486248016357
34170_0004_A_28	0.10209928452968597,0.009966321289539337,0.028606772422790527,0.109527587890625,0.5811282396316528,0.7415454983711243
34170_0005_A_31	0.0333557054400444,1.0476362705230713,0.017474699765443802,0.010801577940583229,0.006831400562077761,0.047040313482284546
34170_0005_A_33	0.03057488054037094,0.06597457081079483,0.024479374289512634,0.07232481241226196,0.027416303753852844,0.14389967918395996
34170_0005_A_35	0.009539272636175156,0.02201511710882187,0.0766802504658699,0.18207663297653198,0.04156967252492905,0.33268240094184875
34170_0004_A_29	0.06438976526260376,0.007408112287521362,0.013925287872552872,0.042032673954963684,0.5673274993896484,0.43854063749313354
34170_0005_A_34	0.2193920910358429,0.17262327671051025,0.006843839772045612,0.04061354324221611,0.007802027277648449,0.5090717077255249
34170_0005_A_36	0.029827486723661423,0.01421407237648964,0.010088199749588966,0.04832356050610542,0.03494509682059288,0.1001167893409729
34170_0005_A_32	0.00796860083937645,0.020051969215273857,0.006030380725860596,0.015366660431027412,0.028468068689107895,0.03834447264671326
34170_0007_A_42	0.008141227066516876,0.018756447359919548,0.004414903465658426,0.003715421771630645,0.035156164318323135,0.039857860654592514
34170_0007_A_43	0.0005647923098877072,0.016056550666689873,0.006344151683151722,0.02041344717144966,0.047350749373435974,0.0054375184699893
34170_0007_A_44	0.003120830748230219,0.019681667909026146,0.05204262584447861,0.05063968151807785,0.13723571598529816,1.1158826351165771
34170_0007_A_45	0.004414125811308622,0.08030116558074951,0.04489143192768097,0.013995209708809853,0.052689120173454285,0.017569486051797867
34170_0007_A_46	0.03763275966048241,1.953035831451416,0.027509767562150955,0.018588067963719368,0.006871807388961315,0.10768735408782959
34170_0007_A_47	0.0019357232376933098,0.04089290648698807,0.011915888637304306,0.07185392826795578,0.046582356095314026,0.04146551340818405
34170_0008_A_49	0.0056343781761825085,0.028405454009771347,0.007100165821611881,0.015848170965909958,0.031101051717996597,0.03866595774888992
34170_0008_A_50	0.0017518237000331283,0.004688344895839691,0.012334784492850304,0.01186631340533495,0.0665789246559143,0.07029763609170914
34170_0008_A_51	0.25400641560554504,0.17933495342731476,0.011750904843211174,0.014362411573529243,0.04988424479961395,0.08241521567106247
34170_0009_A_54	0.002053912030532956,0.008923590183258057,0.005307798273861408,0.010303259827196598,0.06273716688156128,0.02290552854537964
34170_0009_A_56	0.009430964477360249,0.022429203614592552,0.003708389587700367,0.0412556491792202,0.1309293657541275,0.055964335799217224
