id	emotion
34170_0002_A_12	0.004637834150344133,0.016550473868846893,0.18329812586307526,0.006277119740843773,0.04500861093401909,0.16516298055648804
34170_0002_A_14	0.0036863386631011963,0.008340930566191673,0.019525226205587387,0.06556383520364761,0.07357142120599747,0.20769931375980377
34170_0003_A_16	0.009134459309279919,0.016262810677289963,0.021206611767411232,0.023741835728287697,0.12880869209766388,0.06527861207723618
34170_0003_A_17	0.016511371359229088,0.0098110968247056,0.02050788328051567,0.10149827599525452,0.2809178829193115,0.9193791151046753
34170_0003_A_18	0.06615102291107178,0.04203834384679794,0.044376689940690994,0.10733924806118011,0.8036646842956543,1.1489014625549316
34170_0003_A_20	0.042747654020786285,0.03516924008727074,0.039687056094408035,0.01401844434440136,0.17011496424674988,0.590770959854126
34170_0003_A_21	0.006849462166428566,0.003923765383660793,0.0681862011551857,0.014905239455401897,0.221478670835495,0.1210087388753891
34170_0004_A_24	0.08960168063640594,0.04499020427465439,0.015679888427257538,0.006266080774366856,0.013864930719137192,0.11894495040178299
34170_0004_A_25	1.49152410030365,0.16979682445526123,0.014318740926682949,0.029368193820118904,0.047581903636455536,0.6202988028526306
34170_0004_A_26	1.1822593212127686,0.11038868129253387,0.009764187037944794,0.017603375017642975,0.029178760945796967,0.43423882126808167
34170_0004_A_27	0.01513567566871643,0.0284445621073246,0.07756756991147995,0.018823446705937386,0.017084965482354164,0.08649512380361557
34170_0004_A_28	0.06344978511333466,0.006333064287900925,0.008446380496025085,0.1807868927717209,0.12808701395988464,0.43050605058670044
34170_0005_A_31	0.31369227170944214,0.836155891418457,0.011304008774459362,0.0083032650873065,0.007312941364943981,0.05113314837217331
34170_0005_A_33	0.01007794588804245,0.0389079749584198,0.026486728340387344,0.05910341441631317,0.02273939549922943,0.05399303138256073
34170_0005_A_35	0.012159779667854309,0.009175216779112816,0.10485893487930298,0.10396105796098709,0.07583647966384888,0.2888040840625763
34170_0004_A_29	0.07064976543188095,0.0033982042223215103,0.006346787326037884,0.08102741837501526,0.12706777453422546,0.40638232231140137
34170_0005_A_34	0.5328589081764221,0.1836256980895996,0.017736678943037987,0.05272143334150314,0.03836368769407272,0.4797319769859314
34170_0005_A_36	0.01605890691280365,0.0492609441280365,0.02376500517129898,0.036790236830711365,0.02508803829550743,0.11523748934268951
34170_0005_A_32	0.008089679293334484,0.017021745443344116,0.0053291721269488335,0.006191208027303219,0.01818723976612091,0.017923973500728607
